commentUser,comment_count,polarity,keywords_comments,interaction_sequence,posts_sequence
beijingcowboy,1,0.0,"['fire', 'amazing', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 570, 'timestamp': '2023-03-29 07:42:51+00:00', 'polarity': 0.0}]",[570]
beks_therese,1,0.56,"['fire', 'amazing', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 299, 'timestamp': '2023-05-11 00:33:19+00:00', 'polarity': 0.56}]",[299]
bella.viotti,1,0.16,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 591, 'timestamp': '2023-05-27 23:03:16+00:00', 'polarity': 0.16}]",[591]
bellachristensenn,1,-0.6,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 176, 'timestamp': '2023-05-10 01:55:09+00:00', 'polarity': -0.6}]",[176]
bellahugo.co,4,0.385,"['gorgeous', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['red_heart', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['please', 'amazing', 'beautiful', 'clapping_hands', 'de'] ['please', 'amazing', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 294, 'timestamp': '2023-04-18 14:46:57+00:00', 'polarity': 0.44}, {'post_id': 294, 'timestamp': '2023-04-18 14:50:25+00:00', 'polarity': 0.16}, {'post_id': 294, 'timestamp': '2023-04-18 14:51:35+00:00', 'polarity': 0.24}, {'post_id': 283, 'timestamp': '2023-04-18 15:14:34+00:00', 'polarity': 0.7}]","[294, 294, 294, 283]"
bellathorne,1,1.2600000000000002,"['love', 'fire', 'firefirefire', 'amazing', 'beautiful']","[{'post_id': 51, 'timestamp': '2023-06-01 18:47:11+00:00', 'polarity': 1.2600000000000002}]",[51]
bencercio,1,0.16,"['red_heartred_heart', 'amazing', 'beautiful', 'clapping_hands', 'de']","[{'post_id': 218, 'timestamp': '2023-05-17 13:19:34+00:00', 'polarity': 0.16}]",[218]
benedito.moura.3158,2,0.52,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 233, 'timestamp': '2023-04-30 11:51:39+00:00', 'polarity': 0.4800000000000001}, {'post_id': 232, 'timestamp': '2023-04-30 11:58:37+00:00', 'polarity': 0.56}]","[233, 232]"
benedy.bk,1,0.0,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 719, 'timestamp': '2023-05-27 15:46:14+00:00', 'polarity': 0.0}]",[719]
benguherel,1,0.0,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 642, 'timestamp': '2023-03-16 07:06:20+00:00', 'polarity': 0.0}]",[642]
benjamin.wohlbier,1,0.6,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 237, 'timestamp': '2022-11-17 21:09:08+00:00', 'polarity': 0.6}]",[237]
benny_fragrance_,2,0.08,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 648, 'timestamp': '2023-05-27 00:42:58+00:00', 'polarity': 0.16}, {'post_id': 648, 'timestamp': '2023-05-27 00:43:19+00:00', 'polarity': 0.0}]","[648, 648]"
bennycoasttocoast,1,0.2,"['clapping_hands', 'amazing', 'beautiful', 'de', 'fire']","[{'post_id': 449, 'timestamp': '2023-05-05 08:08:52+00:00', 'polarity': 0.2}]",[449]
bentheliem,1,0.0,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 210, 'timestamp': '2023-05-27 23:25:17+00:00', 'polarity': 0.0}]",[210]
beppe_angiolini,2,0.24,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire'] ['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 397, 'timestamp': '2023-06-09 06:06:16+00:00', 'polarity': 0.24}, {'post_id': 398, 'timestamp': '2023-06-09 06:06:34+00:00', 'polarity': 0.24}]","[397, 398]"
bertieholmes66,1,0.0,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 679, 'timestamp': '2023-05-02 22:33:11+00:00', 'polarity': 0.0}]",[679]
bessiejking,1,0.0,"['amazing', 'beautiful', 'clapping_hands', 'de', 'fire']","[{'post_id': 539, 'timestamp': '2023-05-27 18:18:23+00:00', 'polarity': 0.0}]",[539]
