commentUser,interaction_sequence,posts_sequence,sequence_length
stephaniebroek,"[{'post_id': 332, 'timestamp': '2022-10-25 20:33:41+00:00', 'polarity': 0.1591}, {'post_id': 311, 'timestamp': '2022-11-28 21:38:14+00:00', 'polarity': 0.0068}, {'post_id': 305, 'timestamp': '2022-12-08 12:27:17+00:00', 'polarity': 0.8014}, {'post_id': 289, 'timestamp': '2022-12-11 22:56:23+00:00', 'polarity': 0.1477}, {'post_id': 289, 'timestamp': '2022-12-11 22:56:26+00:00', 'polarity': 0.1816}, {'post_id': 202, 'timestamp': '2023-02-07 19:31:15+00:00', 'polarity': 0.1591}, {'post_id': 202, 'timestamp': '2023-02-07 19:31:17+00:00', 'polarity': 0.1204}, {'post_id': 191, 'timestamp': '2023-02-17 21:46:45+00:00', 'polarity': 0.3994}, {'post_id': 197, 'timestamp': '2023-03-03 20:08:15+00:00', 'polarity': -0.7563}, {'post_id': 197, 'timestamp': '2023-03-03 20:08:25+00:00', 'polarity': 0.1498}, {'post_id': 105, 'timestamp': '2023-04-03 11:04:29+00:00', 'polarity': -0.2372}, {'post_id': 65, 'timestamp': '2023-04-09 06:16:44+00:00', 'polarity': 0.1035}, {'post_id': 63, 'timestamp': '2023-05-03 18:59:22+00:00', 'polarity': 0.0254}, {'post_id': 20, 'timestamp': '2023-05-08 19:12:51+00:00', 'polarity': 0.0403}, {'post_id': 19, 'timestamp': '2023-05-10 19:23:22+00:00', 'polarity': 0.0388}, {'post_id': 40, 'timestamp': '2023-05-24 05:47:16+00:00', 'polarity': 0.0353}]","[332, 311, 305, 289, 289, 202, 202, 191, 197, 197, 105, 65, 63, 20, 19, 40]",16
stephnadams,"[{'post_id': 98, 'timestamp': '2023-02-16 19:07:29+00:00', 'polarity': 0.0725}, {'post_id': 94, 'timestamp': '2023-03-15 19:54:43+00:00', 'polarity': 0.1194}, {'post_id': 94, 'timestamp': '2023-03-15 20:02:06+00:00', 'polarity': -0.7777}]","[98, 94, 94]",3
studioljos,"[{'post_id': 296, 'timestamp': '2022-12-10 19:31:38+00:00', 'polarity': 0.0278}, {'post_id': 92, 'timestamp': '2023-05-01 12:12:30+00:00', 'polarity': 0.0806}, {'post_id': 71, 'timestamp': '2023-05-01 12:13:32+00:00', 'polarity': 0.2403}]","[296, 92, 71]",3
stylesprinter,"[{'post_id': 124, 'timestamp': '2023-05-20 21:54:25+00:00', 'polarity': -0.1555}, {'post_id': 124, 'timestamp': '2023-05-20 21:54:28+00:00', 'polarity': -0.0665}, {'post_id': 3, 'timestamp': '2023-06-03 01:45:35+00:00', 'polarity': 0.9756}, {'post_id': 11, 'timestamp': '2023-06-03 01:45:57+00:00', 'polarity': 0.0806}]","[124, 124, 3, 11]",4
styluux,"[{'post_id': 351, 'timestamp': '2023-04-23 19:30:43+00:00', 'polarity': -0.0689}, {'post_id': 354, 'timestamp': '2023-04-23 19:32:41+00:00', 'polarity': 0.8402}, {'post_id': 362, 'timestamp': '2023-04-23 19:33:22+00:00', 'polarity': 0.7539}, {'post_id': 355, 'timestamp': '2023-04-23 19:33:43+00:00', 'polarity': -0.0032}]","[351, 354, 362, 355]",4
supe5858,"[{'post_id': 645, 'timestamp': '2023-05-15 14:22:20+00:00', 'polarity': -0.14}, {'post_id': 645, 'timestamp': '2023-05-15 14:22:37+00:00', 'polarity': -0.14}, {'post_id': 645, 'timestamp': '2023-05-15 14:22:56+00:00', 'polarity': -0.0085}]","[645, 645, 645]",3
svan.victor,"[{'post_id': 210, 'timestamp': '2023-05-10 17:27:42+00:00', 'polarity': 0.3847}, {'post_id': 213, 'timestamp': '2023-05-10 17:29:21+00:00', 'polarity': 0.0494}, {'post_id': 182, 'timestamp': '2023-05-20 14:35:11+00:00', 'polarity': 0.7838}, {'post_id': 154, 'timestamp': '2023-05-29 15:49:40+00:00', 'polarity': 0.7669}]","[210, 213, 182, 154]",4
swade6799,"[{'post_id': 646, 'timestamp': '2023-05-02 18:35:54+00:00', 'polarity': -0.7891}, {'post_id': 582, 'timestamp': '2023-05-02 18:52:07+00:00', 'polarity': -0.1275}, {'post_id': 581, 'timestamp': '2023-05-02 18:56:47+00:00', 'polarity': -0.1041}, {'post_id': 585, 'timestamp': '2023-05-02 18:57:26+00:00', 'polarity': 0.2687}]","[646, 582, 581, 585]",4
sweetmotherly,"[{'post_id': 95, 'timestamp': '2023-03-06 19:17:42+00:00', 'polarity': 0.9897}, {'post_id': 94, 'timestamp': '2023-03-13 18:59:44+00:00', 'polarity': 0.985}, {'post_id': 87, 'timestamp': '2023-04-15 23:20:43+00:00', 'polarity': 0.9909}, {'post_id': 31, 'timestamp': '2023-06-05 18:47:24+00:00', 'polarity': 0.9916}]","[95, 94, 87, 31]",4
swissway_by_olgaschmidt,"[{'post_id': 699, 'timestamp': '2023-03-16 18:45:56+00:00', 'polarity': -0.0665}, {'post_id': 712, 'timestamp': '2023-03-16 21:16:05+00:00', 'polarity': 0.0803}, {'post_id': 703, 'timestamp': '2023-03-16 21:16:10+00:00', 'polarity': 0.0278}]","[699, 712, 703]",3
tatiana.farag,"[{'post_id': 339, 'timestamp': '2022-09-29 03:56:50+00:00', 'polarity': 0.001}, {'post_id': 338, 'timestamp': '2022-10-28 07:09:33+00:00', 'polarity': 0.2744}, {'post_id': 287, 'timestamp': '2023-02-06 11:42:55+00:00', 'polarity': 0.0363}]","[339, 338, 287]",3
tayumic25,"[{'post_id': 428, 'timestamp': '2023-06-02 18:37:20+00:00', 'polarity': 0.0321}, {'post_id': 428, 'timestamp': '2023-06-02 18:37:31+00:00', 'polarity': 0.0321}, {'post_id': 428, 'timestamp': '2023-06-02 18:37:46+00:00', 'polarity': 0.0321}, {'post_id': 512, 'timestamp': '2023-06-05 00:26:05+00:00', 'polarity': 0.3534}, {'post_id': 513, 'timestamp': '2023-06-05 12:04:00+00:00', 'polarity': 0.3534}]","[428, 428, 428, 512, 513]",5
thecanvasnyc,"[{'post_id': 436, 'timestamp': '2023-06-06 16:57:54+00:00', 'polarity': 0.0181}, {'post_id': 441, 'timestamp': '2023-06-06 16:58:06+00:00', 'polarity': 0.0181}, {'post_id': 438, 'timestamp': '2023-06-06 16:58:19+00:00', 'polarity': 0.2019}]","[436, 441, 438]",3
thegangstarsboss,"[{'post_id': 174, 'timestamp': '2023-06-06 10:30:08+00:00', 'polarity': 0.0321}, {'post_id': 221, 'timestamp': '2023-06-06 10:30:23+00:00', 'polarity': 0.0321}, {'post_id': 241, 'timestamp': '2023-06-06 10:31:39+00:00', 'polarity': 0.0321}, {'post_id': 372, 'timestamp': '2023-06-06 10:32:03+00:00', 'polarity': -0.0961}]","[174, 221, 241, 372]",4
thevogueman_,"[{'post_id': 742, 'timestamp': '2023-04-20 01:29:40+00:00', 'polarity': 0.3291}, {'post_id': 742, 'timestamp': '2023-04-20 01:30:03+00:00', 'polarity': 0.3291}, {'post_id': 612, 'timestamp': '2023-04-20 11:42:52+00:00', 'polarity': 0.4351}, {'post_id': 612, 'timestamp': '2023-04-20 11:42:57+00:00', 'polarity': 0.4351}, {'post_id': 598, 'timestamp': '2023-04-20 13:31:09+00:00', 'polarity': 0.3291}, {'post_id': 598, 'timestamp': '2023-04-20 13:31:17+00:00', 'polarity': 0.3291}, {'post_id': 596, 'timestamp': '2023-04-21 18:19:02+00:00', 'polarity': 0.4351}, {'post_id': 596, 'timestamp': '2023-04-21 18:19:18+00:00', 'polarity': 0.4351}, {'post_id': 457, 'timestamp': '2023-04-23 20:32:13+00:00', 'polarity': 0.4351}, {'post_id': 746, 'timestamp': '2023-04-24 16:40:59+00:00', 'polarity': 0.4351}, {'post_id': 751, 'timestamp': '2023-04-25 16:24:33+00:00', 'polarity': 0.0259}, {'post_id': 751, 'timestamp': '2023-04-25 16:24:42+00:00', 'polarity': 0.0259}, {'post_id': 741, 'timestamp': '2023-05-01 21:22:30+00:00', 'polarity': 0.0259}]","[742, 742, 612, 612, 598, 598, 596, 596, 457, 746, 751, 751, 741]",13
uniquemagazine_,"[{'post_id': 536, 'timestamp': '2023-06-02 08:15:13+00:00', 'polarity': -0.0488}, {'post_id': 620, 'timestamp': '2023-06-02 08:22:47+00:00', 'polarity': -0.9199}, {'post_id': 622, 'timestamp': '2023-06-02 08:26:01+00:00', 'polarity': 0.8097}]","[536, 620, 622]",3
united.beauty__7,"[{'post_id': 680, 'timestamp': '2023-04-15 15:45:03+00:00', 'polarity': 0.1956}, {'post_id': 680, 'timestamp': '2023-04-15 15:45:04+00:00', 'polarity': 0.9881}, {'post_id': 680, 'timestamp': '2023-04-15 15:45:05+00:00', 'polarity': -0.0539}]","[680, 680, 680]",3
vasesbyfinn,"[{'post_id': 147, 'timestamp': '2023-06-04 03:40:18+00:00', 'polarity': 0.1916}, {'post_id': 188, 'timestamp': '2023-06-04 03:41:01+00:00', 'polarity': 0.4095}, {'post_id': 156, 'timestamp': '2023-06-04 03:41:30+00:00', 'polarity': 0.0053}]","[147, 188, 156]",3
vianna_xzs,"[{'post_id': 583, 'timestamp': '2023-06-02 21:46:21+00:00', 'polarity': 0.7867}, {'post_id': 583, 'timestamp': '2023-06-02 21:46:26+00:00', 'polarity': 0.7074}, {'post_id': 583, 'timestamp': '2023-06-02 21:46:58+00:00', 'polarity': 0.5691}]","[583, 583, 583]",3
vincenzo.piccolo.1238,"[{'post_id': 108, 'timestamp': '2023-06-06 10:55:20+00:00', 'polarity': -0.0568}, {'post_id': 171, 'timestamp': '2023-06-06 10:56:54+00:00', 'polarity': -0.0891}, {'post_id': 168, 'timestamp': '2023-06-06 16:17:09+00:00', 'polarity': -0.0425}, {'post_id': 221, 'timestamp': '2023-06-06 16:18:55+00:00', 'polarity': -0.1369}]","[108, 171, 168, 221]",4
voizaurademari,"[{'post_id': 322, 'timestamp': '2022-02-21 01:25:34+00:00', 'polarity': 0.8638}, {'post_id': 494, 'timestamp': '2023-05-03 00:30:03+00:00', 'polarity': 0.8581}, {'post_id': 694, 'timestamp': '2023-05-04 00:15:06+00:00', 'polarity': 0.8523}, {'post_id': 521, 'timestamp': '2023-05-15 18:14:44+00:00', 'polarity': 0.8475}, {'post_id': 647, 'timestamp': '2023-05-28 16:38:48+00:00', 'polarity': 0.8867}, {'post_id': 420, 'timestamp': '2023-06-02 01:20:26+00:00', 'polarity': 0.1033}]","[322, 494, 694, 521, 647, 420]",6
wagafull,"[{'post_id': 298, 'timestamp': '2022-06-12 14:35:46+00:00', 'polarity': 0.1033}, {'post_id': 318, 'timestamp': '2022-06-12 14:36:07+00:00', 'polarity': 0.1033}, {'post_id': 348, 'timestamp': '2022-06-12 14:37:12+00:00', 'polarity': 0.1033}, {'post_id': 346, 'timestamp': '2022-06-12 14:40:59+00:00', 'polarity': 0.1033}]","[298, 318, 348, 346]",4
wiedemanntami,"[{'post_id': 97, 'timestamp': '2023-03-01 13:18:25+00:00', 'polarity': 0.967}, {'post_id': 34, 'timestamp': '2023-05-15 11:22:25+00:00', 'polarity': 0.9861}, {'post_id': 30, 'timestamp': '2023-05-18 14:47:53+00:00', 'polarity': 0.967}]","[97, 34, 30]",3
world_record_promotion_,"[{'post_id': 700, 'timestamp': '2023-04-09 18:55:35+00:00', 'polarity': 0.9176}, {'post_id': 700, 'timestamp': '2023-04-09 18:55:36+00:00', 'polarity': 0.4043}, {'post_id': 700, 'timestamp': '2023-04-09 18:55:39+00:00', 'polarity': 0.4616}]","[700, 700, 700]",3
xiaoyuanron,"[{'post_id': 642, 'timestamp': '2023-03-16 13:16:54+00:00', 'polarity': 0.8857}, {'post_id': 560, 'timestamp': '2023-04-10 14:00:33+00:00', 'polarity': 0.8402}, {'post_id': 561, 'timestamp': '2023-04-13 16:41:22+00:00', 'polarity': 0.8402}, {'post_id': 459, 'timestamp': '2023-04-20 14:43:35+00:00', 'polarity': 0.8857}, {'post_id': 460, 'timestamp': '2023-04-27 17:26:02+00:00', 'polarity': 0.868}]","[642, 560, 561, 459, 460]",5
yarigiovannini,"[{'post_id': 233, 'timestamp': '2023-04-22 19:42:52+00:00', 'polarity': 0.0442}, {'post_id': 236, 'timestamp': '2023-04-22 19:43:01+00:00', 'polarity': 0.728}, {'post_id': 236, 'timestamp': '2023-04-22 19:44:47+00:00', 'polarity': 0.728}]","[233, 236, 236]",3
z.___o___.e,"[{'post_id': 22, 'timestamp': '2023-06-06 18:56:38+00:00', 'polarity': -0.9019}, {'post_id': 22, 'timestamp': '2023-06-06 18:59:04+00:00', 'polarity': -0.3758}, {'post_id': 22, 'timestamp': '2023-06-06 18:59:06+00:00', 'polarity': -0.3758}, {'post_id': 22, 'timestamp': '2023-06-06 19:25:13+00:00', 'polarity': -0.8433}]","[22, 22, 22, 22]",4
