post_id,postUser,timestamp,likesCount,commentsCount,combined_keywords
118,fashionmuniz,2023-06-05 18:03:56+00:00,14,0,"['hey', 'babe', 'nosso', 'camisão', 'brun']"
119,fashionmuniz,2023-06-05 13:09:19+00:00,23,0,"['se', 'prepara', 'look', 'completo', 'calça', 'r']"
120,fashionmuniz,2023-06-05 20:11:43+00:00,20,0,"['nossas', 'calças', 'preferidas', 'todas', 'site']"
121,fashionmuniz,2023-06-01 21:23:24+00:00,136,0,"['new', 'babe', 'moletom', 'joy', 'p']"
122,maryleest,2023-05-16 13:23:24+00:00,26865,116,"['forbes', 'brazil', 'night', 'forbesbr', 'lucreziabuccellati']"
123,fashionmuniz,2023-06-02 13:59:29+00:00,18,0,"['esfriou', 'nossos', 'quentinhos', 'estão', 'com']"
124,maryleest,2023-05-10 19:14:02+00:00,33785,125,"['fendi', 'x', 'marc', 'jacobs', 'themarcjacobs']"
125,maryleest,2023-04-28 16:52:17+00:00,23692,126,"['first', 'glass', 'rossini', 'sign', 'summer', 'sunglasses']"
126,maryleest,2023-05-04 18:33:30+00:00,25201,178,"['gala', 'met', 'night', 'toryburch', 'honoring']"
127,fashionmuniz,2023-06-01 12:38:26+00:00,19,0,"['4', 'quentinhos', 'pra', 'você', 'se', 'de']"
128,fashionmuniz,2023-06-01 14:08:44+00:00,16,0,"['shirt', 'duas', 'cores', 'perfeitas', 'site']"
129,josefinehj,2023-05-25 09:34:33+00:00,12547,110,"['show', 'louisvuitton', 'annonce', 'last', 'night', 'way', 'isola']"
130,maryleest,2023-04-29 18:26:46+00:00,11389,73,"['think', 'italian', 'summer', 'start', 'soon', 'mayabeachresort']"
131,josefinehj,2023-05-23 14:38:24+00:00,18668,70,"['louisvuitton', 'annonce', 'italian', 'espresso', 'lvcruise24']"
132,everyday.holly,2023-05-15 13:24:45+00:00,1534,627,"['dress', 'outfit', 'happy', 'monday', 'hope', '1', 'links', 'small', 'tts', '3']"
133,everyday.holly,2023-05-07 21:54:12+00:00,929,188,"['dress', 'outfit', 'last', 'weeks', 'top', 'links', 'target', 'sandals', '1', 'xs']"
134,josefinehj,2023-05-24 12:19:32+00:00,4712,12,"['louisvuitton', 'annonce', 'last', 'night', 'beautiful']"
135,josefinehj,2023-05-23 14:20:11+00:00,5275,20,['italy']
136,josefinehj,2023-05-23 14:57:40+00:00,21899,95,"['louisvuitton', 'annonce', 'white heart']"
137,maryleest,2023-05-02 19:47:53+00:00,20329,152,"['gala', 'metgala', 'ready', 'sparkle', 'pre', 'met', 'swarowski', 'swarowskijewelry']"
138,maryleest,2023-05-18 18:02:54+00:00,22917,158,"['cannes', 'dress', 'jewelry', 'shoes', 'ready', 'first', 'red', 'carpet', 'jewelry hassanzadeh_jewelry', 'dress marmarhalim']"
139,fashionmuniz,2023-05-25 21:16:31+00:00,32,0,"['calça', 'de', 'couro', 'molly', 'está']"
140,matildadjerf,2023-06-06 18:57:00+00:00,21800,51,"['love', 'story']"
141,fashionmuniz,2023-05-23 18:04:09+00:00,50,0,"['conjunto', 'alicia', 'está', 'de', 'volta']"
142,matildadjerf,2023-06-05 18:31:00+00:00,127390,228,['sums']
143,fashionmuniz,2023-05-22 20:31:10+00:00,15,0,"['moletons', 'quentinhos', 'pra', 'você', 'se']"
144,matildadjerf,2023-06-01 17:58:05+00:00,215348,361,"['butterfly', 'ribbon']"
145,matildadjerf,2023-06-03 18:40:05+00:00,257176,347,"['best', 'weekend', 'still', 'tomorrow', 'white heart']"
146,matildadjerf,2023-05-31 18:18:48+00:00,194121,322,['bff']
147,matildadjerf,2023-05-30 19:01:41+00:00,108797,121,"['favorite', 'place', 'time', 'day']"
148,fashionmuniz,2023-05-10 17:40:34+00:00,16,0,"['shirt', 'duas', 'cores', 'perfeitas', 'site']"
149,fashionmuniz,2023-05-10 13:55:01+00:00,32,0,"['trio', 'de', 'calças', 'novas', 'pra']"
150,matildadjerf,2023-05-29 18:47:38+00:00,166233,259,['ribbon']
151,fashionmuniz,2023-05-23 13:11:14+00:00,21,0,"['trio', 'de', 'calças', 'novas', 'pra']"
152,chiaraferragni,2023-06-06 13:17:24+00:00,143533,893,"['bikini', 'season', 'finally', 'started', 'still', 'calzedonia', 'adv']"
153,matildadjerf,2023-05-28 18:40:12+00:00,258038,317,"['week', 'honey pot', 'sunflower']"
154,matildadjerf,2023-05-27 18:34:24+00:00,90261,176,"['hi', 'ribbon']"
155,matildadjerf,2023-05-26 18:37:41+00:00,233749,274,"['dress', 'black heart']"
156,matildadjerf,2023-05-23 18:46:14+00:00,173091,212,['hi']
157,davidgandy_official,2022-11-24 10:05:20+00:00,35064,434,"['awards', 'style', 'proud', 'icon', 'award', 'gq']"
158,monikh,2023-05-30 19:17:21+00:00,2022,9,['bits']
159,monikh,2023-05-27 07:07:58+00:00,8149,52,"['lazy', 'oversized', 'linen', '22', 'degrees']"
160,monikh,2023-05-29 07:25:30+00:00,1934,16,"['rumours', 'true', 'merit', 'really', 'good']"
161,monikh,2023-05-30 14:54:21+00:00,9215,46,"['raeyofficial', 'top', 'acnestudios', 'cargo', 'pants', 'old']"
162,fashionmuniz,2023-05-26 14:03:50+00:00,25,0,"['courinho', 'voltando', 'com', 'tudo', 'por']"
163,monikh,2023-05-25 10:38:49+00:00,8080,28,"['hour', 'plus', 'beauty', 'bits', 'rotation']"
164,chiaraferragni,2023-06-04 08:29:45+00:00,321404,2097,"['last', 'night', 'sparkling heart']"
165,monikh,2023-05-23 18:56:45+00:00,1519,18,"['lovely', 'lunch', 'people']"
166,davidgandy_official,2022-11-25 21:52:26+00:00,38828,289,"['always', 'championed', 'british', 'brands', 'delighted', 'thomaspink', 'thomaspinkshirtmaker', 'thomaspinkshop']"
167,chiaraferragni,2023-06-03 14:07:39+00:00,525948,1076,"['special', 'night', 'starting', 'chiaraferragnibrand', 'summer']"
168,chiaraferragni,2023-06-02 14:45:35+00:00,308225,1102,"['june', '1st', 'forte', 'dei', 'marmi']"
169,monikh,2023-05-24 07:58:52+00:00,3679,20,"['london', 'dress', 'wear', 'yesterday', 'found', 'semi', 'sheer']"
170,chiaraferragni,2023-06-01 09:09:51+00:00,591890,1773,"['looks', '2023', 'january', 'shooting', 'sanremo']"
